40.7738198,-73.9708181,Central Park (Bethesda Terrace),
40.7937474,-73.9524239,Central Park (Conservatory Garden),
40.7971002,-73.951458,Central Park (Dana Discovery Center),Yes
40.770155,-73.981071,Central Park (Heckscher Playground),
40.7739739,-73.9665564,Central Park (Kerbs Boathouse),
40.7964467,-73.9546059,Central Park (Lasker),Yes
40.7753313,-73.9687344,Central Park (Loeb Boathouse),
40.7911833,-73.9595918,Central Park (North Meadow Recreation Center),Yes
40.7775322,-73.9695347,Central Park (Ramble),
40.7717691,-73.9748418,"Central Park (Sheep Meadow, Mineral Springs)",Yes
40.7726419,-73.9770349,Central Park (Tavern on The Green),
40.7898866,-73.9620658,Central Park (Tennis Courts),
40.7968924,-73.9589429,Central Park (The Great Hill),
40.7794366,-73.963244,Central Park (The Metropolitan Museum of Art),
40.7692978,-73.9810471,Central Park (West 61st),
40.7677792,-73.9744673,Central Park (Wollman Rink),Yes
40.7801403,-73.9687629,Central Park Delacorte Comfort Station,Yes
40.5767757,-73.970055,Century Playground,
40.7567232,-73.7281103,Challenge Playground (PS 187) 251 Street Playground,
40.7501121,-74.0011837,Chelsea Park,
40.74829,-74.0020655,Chelsea Recreation Center,Yes
40.7871517,-73.9472629,Cherry Tree (Washington) Playground,
40.6687403,-73.9118244,Chester Playground,
40.8560321,-73.8866531,Ciccarone Park Playground,
40.6796055,-73.8748013,City Line Park,
40.8423553,-73.9091491,Claremont Park,
40.8409,-73.9075506,Claremont Park Playground,
40.8137639,-73.9214695,Clark Playground,Yes
40.7466458,-74.0043787,Clement Clark Moore Park,
40.7832609,-73.8078176,Clintonville Playground (JHS 194),
40.8193351,-73.9355258,Col. Charles Young Playground,
40.6097171,-73.9695879,Col. David Marcus Memorial Playground,
40.7112051,-73.9936545,Coleman Square Playground,
40.777747,-73.8376269,College Point Park,
40.8527283,-73.8346108,Colucci Playground,
40.6941769,-73.9901653,Columbus Park,
40.7156618,-73.9999961,Columbus Park,Yes
40.6973777,-73.9789631,Com. John Barry Park & Playground,
40.6973777,-73.9789631,Com. John Barry Park & Playground,
40.6973777,-73.9789631,Com. John Barry Park & Playground (Athletic Area),
40.6202258,-73.9376354,Comm. Eugene S. Sarsfield Playground,
40.5769054,-73.9651278,Coney Island,Yes
40.5752142,-73.9932421,Coney Island,Yes
40.5763862,-73.9998772,Coney Island,Yes
40.57946,-73.959489,Coney Island Beach,
40.5906007,-73.9840949,Coney Island Beach,Yes
40.5790223,-73.9841517,Coney Island Beach,Yes
40.5761548,-73.9890093,Coney Island Beach,Yes
40.5010869,-74.2516134,Conference House Park,Yes
40.71555,-73.936474,Cooper Park,
40.7474938,-73.8549547,Corona Golf Playground,
40.7390874,-74.0048786,Corporal John A. Seravalli Playground,
40.637932,-74.1188551,Corporal Thompson Park,
40.637932,-74.1188551,Corporal Thompson Park/West Brighton Pool,Yes
40.7718307,-73.767643,Crocheron Park Field House,
40.8353103,-73.8958401,Crotona Park (Martin Van Buren Playground),
40.8359343,-73.9001182,Crotona Park (Playground of the Stars),
40.839942,-73.898056,Crotona Park (Pool House),Yes
40.8380609,-73.8930301,Crotona Park Environmental Center,
40.7294242,-73.8798079,Crowley Playground,
40.7291208,-73.7742339,Cunningham Park,
40.7393627,-73.7591236,Cunningham Park (210th Street Playground),
40.7291208,-73.7742339,Cunningham Park (HQ8),Yes
40.6722397,-73.871508,Cypress Hills Park,
40.6999581,-73.7582662,Daniel M. O'Connell Playground,
40.7680708,-73.9942897,De Witt Clinton Park,Yes
40.6145077,-74.0742565,Dematti Playground,
40.7028871,-73.7844531,Detective Keith L. Williams Park,
40.8631422,-73.9062362,Devoe Park,
40.6329061,-73.9772167,Digilio Playground,
